,title,total_price,condition,details,num_images
11,   Sega Saturn Black Console (NTSC) ,30.65,  Used ," Get back to classic video gaming with the Sega Saturn console. Dual processors and a full-color display bring a classic gaming console to life, making for quick gameplay and visuals that can be enjoyed by up to two players thanks to the dual controller ports. The Sega Saturn console was the first to accept both CDs and cartridges, giving gamers a wide selection of play possibilities. There are more than 245 games available on the classic Sega gaming console, which has its own internal memory storage and specialized memory cartridges for additional storage. Named by IGN as one of the 25 best gaming consoles of all time, the Sega Saturn console is shaped in a simple rectangle that fits onto any shelf. Place games into the Sega gaming console by lifting the top lid and inserting them directly inside. The Sega Saturn helped shape video gaming, and remains one of the best systems ever produced. A classic gaming console never goes out of style. ",1
12,   Panzer Dragoon 2 II Zwei (Sega Saturn)--Disc Only! ,27.0,  Good ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",1
13,   Sega Saturn Console NTSC (with all hook-ups) Tested and works ,54.99,  Used ,,5
14," Sega Saturn Console System (Tested)_files/42veamnesayuphbpaxw0kevnzml"" type=""text/css"">",62.54,  Used ,,5
15,"   Virtua Fighter Kids  (Sega Saturn, 1996) ",12.99,  Acceptable ,"              Akira, Shun-di, Kage, and Pai are back -- but this time, they're kids! Virtua Fighter Kids brings home the arcade action to the Sega Saturn. This port of the arcade game is based on the award-winning coin-op, Virtua Fighter. Featuring ten childlike fighters, each of whom sports a huge array of moves. With oversized heads and undersized arms, Virtua Fighter Kids puts a new twist on a proven genre.<br><br>Fighting takes place in three dimensional rings, allowing players full freedom of movement. Most of the modes of play are the same as Virtua Fighter 2, such as Ranking, Arcade, and Practice. Adding to the legacy of the Virtua Fighter series, Virtua Fighter Kids includes a new play mode and a new feature: Kids mode and Combo Maker. Kids mode simplifies the controls by allowing combos to be performed with one button. The Combo Maker gives players the ability to create up to 20 new moves. Take the battle into your own hands! ",1
16,   Albert Odyssey Legend of Eldean SEGA Saturn RPG Very  Rare   MINT CONIDTION DISC ,79.99,  Like New ,,3
17,   Sega Saturn Black Console (NTSC) ,43.05,  Used ," Get back to classic video gaming with the Sega Saturn console. Dual processors and a full-color display bring a classic gaming console to life, making for quick gameplay and visuals that can be enjoyed by up to two players thanks to the dual controller ports. The Sega Saturn console was the first to accept both CDs and cartridges, giving gamers a wide selection of play possibilities. There are more than 245 games available on the classic Sega gaming console, which has its own internal memory storage and specialized memory cartridges for additional storage. Named by IGN as one of the 25 best gaming consoles of all time, the Sega Saturn console is shaped in a simple rectangle that fits onto any shelf. Place games into the Sega gaming console by lifting the top lid and inserting them directly inside. The Sega Saturn helped shape video gaming, and remains one of the best systems ever produced. A classic gaming console never goes out of style. ",1
18,"   Panzer Dragoon II Zwei (Sega Saturn,1996) *Classic Series*RARE* ",28.44,  Very Good ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",2
19,   Sonic 3D Blast for the Sega Saturn !!MINT DISK!! ,22.0,  Like New ,,4
20,   Panzer Dragoon 2 Zwei (Sega Saturn) Tested but Disk Only ,32.31,  Good ,,2
21,   Sega Saturn Black Console (NTSC) joystick cables complete video game system ,96.11,  Used ," Get back to classic video gaming with the Sega Saturn console. Dual processors and a full-color display bring a classic gaming console to life, making for quick gameplay and visuals that can be enjoyed by up to two players thanks to the dual controller ports. The Sega Saturn console was the first to accept both CDs and cartridges, giving gamers a wide selection of play possibilities. There are more than 245 games available on the classic Sega gaming console, which has its own internal memory storage and specialized memory cartridges for additional storage. Named by IGN as one of the 25 best gaming consoles of all time, the Sega Saturn console is shaped in a simple rectangle that fits onto any shelf. Place games into the Sega gaming console by lifting the top lid and inserting them directly inside. The Sega Saturn helped shape video gaming, and remains one of the best systems ever produced. A classic gaming console never goes out of style. ",1
22,   BATTLE ARENA TOSHINDEN Sega Saturn Game ,33.99,  Like New ,"              Battle Arena Toshinden Remix is a port of the PlayStation game Battle Arena Toshinden. It is complete with new special effects, music, and one new character, Kupeed. Toshinden is a martial arts tournament for which all of the fighters have gathered to participate. During the action the camera angle regularly changes. Action can be viewed from a distance or close up. There are a total of ten characters in the game. Eight of them are playable while the other two, Gaia and Sho, are bosses. Story mode takes players through each character's motives for being at the tournament. Along with many hand-to-hand combat special moves, each character has a weapon. Weapons include swords, knives, claws, a whip, a stone club, and a spear. ",4
23,"   Mega Man 8: Anniversary Collector's Edition  (Sega Saturn, 1997) ",229.99,  Like New , Video ,2
24,   Sega Saturn White Console System + Free Game Disc only  Japanese version SS ,40.0,  Used ,,8
25,"   Die Hard Arcade  (Saturn, 1997) ",43.19,  Good ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",1
26,   Sega Saturn Console Model MK-80000 w/ 2 Controllers ,65.0,  Used ," Get back to classic video gaming with the Sega Saturn console. Dual processors and a full-color display bring a classic gaming console to life, making for quick gameplay and visuals that can be enjoyed by up to two players thanks to the dual controller ports. The Sega Saturn console was the first to accept both CDs and cartridges, giving gamers a wide selection of play possibilities. There are more than 245 games available on the classic Sega gaming console, which has its own internal memory storage and specialized memory cartridges for additional storage. Named by IGN as one of the 25 best gaming consoles of all time, the Sega Saturn console is shaped in a simple rectangle that fits onto any shelf. Place games into the Sega gaming console by lifting the top lid and inserting them directly inside. The Sega Saturn helped shape video gaming, and remains one of the best systems ever produced. A classic gaming console never goes out of style. ",2
27,"   Panzer Dragoon  (Sega Saturn, 1995) FREE SHIPPING IN USA ",45.0,  Good ,"              After your countryland was destroyed by a giant airship from beyond, the only thing left to do is hop on the back of a renegade dragon and shoot your way to vengeance. Boasting a wide variety of explorable environments, Panzer Dragoon transports you through ancient ruins, dark and eerie caves, and surreal landscapes. The music should be as awe-inspiring as the surroundings as several tracks were performed by the Israeli Symphony Orchestra.<br><br>Action can be viewed from three different perspectives: first-person, a third-person large view of the dragon, and a third-person small view of the dragon. Players will fend off enemies with 360 degrees of aiming ability. Hold down the fire button to ""lock on"" to multiple enemies, then release the key to let loose a display of guided dragonfire. Panzer Dragoon uses a 3D graphics engine and features art direction similar to the works of Moebius. ",1
28,   Shining Force 3 US version extremely RARE! ,165.0,  Very Good ,,1
29,   Sonic 3D Blast(Sega Saturn)**GAME ONLY**FREE SHIPPING** ,12.99,  Good ,"              Dr. Robotnik should find himself another hobby, because this one ain't paying off; or at least not yet. Determined yet again to collect the Chaos Emeralds and gain absolute power (over what, we're never exactly sure), The man with the Mean Bean Machine has sent out his robo-cronies to kidnap the birdlike Flickies and invade Flicky Island in search of all six Chaos Emeralds. Poor Sonic. Why can't anyone else play the hero for once?<br><br>The gameplay is familiar, but the settings are completely new. Sonic 3D Blast sticks the blue blur smack dab in the middle of a fully rendered isometric playing field, with new hazards exploring a third dimension in which to terrorize our hero.<br><br>Rescue the Flickies from the grasps of each of Robotnik's mechanized bad guys, and set them free at the end of each level. Also, keep an eye out for Tails, who'll offer you a round trip ticket to the bonus rounds where Sonic must collect enough rings to earn each emerald.<br><br>Claim each section of Flicky Island, including its snowy peaks, its grassy hills, and even an active volcano, in your pursuit of the tirelessly conniving Dr. Robotnik.<br><br>Sonic 3D Blast for Saturn features two separate endings, each displayed in full motion video. There is no save feature in Sonic 3D Blast. ",1
30,   Sega Saturn Black Console (NTSC) ,62.09,  Used ," Get back to classic video gaming with the Sega Saturn console. Dual processors and a full-color display bring a classic gaming console to life, making for quick gameplay and visuals that can be enjoyed by up to two players thanks to the dual controller ports. The Sega Saturn console was the first to accept both CDs and cartridges, giving gamers a wide selection of play possibilities. There are more than 245 games available on the classic Sega gaming console, which has its own internal memory storage and specialized memory cartridges for additional storage. Named by IGN as one of the 25 best gaming consoles of all time, the Sega Saturn console is shaped in a simple rectangle that fits onto any shelf. Place games into the Sega gaming console by lifting the top lid and inserting them directly inside. The Sega Saturn helped shape video gaming, and remains one of the best systems ever produced. A classic gaming console never goes out of style. ",1
31,"   Virtua Fighter Kids  (Sega Saturn, 1996) Rated T, NTSC-U/C, Very Good ",23.46,  Very Good ,"              Akira, Shun-di, Kage, and Pai are back -- but this time, they're kids! Virtua Fighter Kids brings home the arcade action to the Sega Saturn. This port of the arcade game is based on the award-winning coin-op, Virtua Fighter. Featuring ten childlike fighters, each of whom sports a huge array of moves. With oversized heads and undersized arms, Virtua Fighter Kids puts a new twist on a proven genre.<br><br>Fighting takes place in three dimensional rings, allowing players full freedom of movement. Most of the modes of play are the same as Virtua Fighter 2, such as Ranking, Arcade, and Practice. Adding to the legacy of the Virtua Fighter series, Virtua Fighter Kids includes a new play mode and a new feature: Kids mode and Combo Maker. Kids mode simplifies the controls by allowing combos to be performed with one button. The Combo Maker gives players the ability to create up to 20 new moves. Take the battle into your own hands! ",3
32,   Sega Saturn White Console System + Free Game Disc only  Japanese version SS ,35.0,  Used ,,9
33,   WOW! Sega Saturn - Game console System RARE! Japan Gray Grey N32 ,39.98,  Used ," Classic and ready for fun, this white Sega Saturn White Plug&amp;Play TV Game is a good choice for powering blood-pumping video game excitement.  You can duck missiles and ski down slopes for hours because this Sega video game system has fun and ergonomic controls. This video game system is able to suit a wide range of gaming tastes, which enables you to play a multitude of educational, conquest, and action game titles. With the dedicated graphical memory capacity featured on the Sega Saturn White Plug&amp;Play TV Game, you can appreciate outstanding visual images. Each game session is lifelike and realistic using the advanced CPU included with this Sega video game system. This video game system is attractive and proportioned, allowing you to make use of it in a family room, basement, or home theater. With the more than adequate on-board game storage included on the Sega Saturn White Plug&amp;Play TV Game, you can keep all your game settings. Plus, you can take advantage of enhanced gaming performance since this Sega video game system has generous internal RAM. This video game system makes it easy for you to immerse yourself in the clear gaming soundscapes on your own television thanks to its TV audio connector. ",3
34,"   Virtua Fighter Kids  (Saturn, 1996) Game Disk Only ",12.5,  Acceptable ,"              Akira, Shun-di, Kage, and Pai are back -- but this time, they're kids! Virtua Fighter Kids brings home the arcade action to the Sega Saturn. This port of the arcade game is based on the award-winning coin-op, Virtua Fighter. Featuring ten childlike fighters, each of whom sports a huge array of moves. With oversized heads and undersized arms, Virtua Fighter Kids puts a new twist on a proven genre.<br><br>Fighting takes place in three dimensional rings, allowing players full freedom of movement. Most of the modes of play are the same as Virtua Fighter 2, such as Ranking, Arcade, and Practice. Adding to the legacy of the Virtua Fighter series, Virtua Fighter Kids includes a new play mode and a new feature: Kids mode and Combo Maker. Kids mode simplifies the controls by allowing combos to be performed with one button. The Combo Maker gives players the ability to create up to 20 new moves. Take the battle into your own hands! ",1
35,"   Guardian Heroes  (Sega Saturn, 1996) complete CIB  ",99.99,  Very Good ,"              Guardian Heroes is fantasy-themed action title in the spirit of Sega's hack-and-slash Golden Axe arcade game. Choose from four initially playable characters, each proficient in a different combat style, before mastering the assortment of combos and magic-based attacks needed to defeat your enemies. Your character can also move across each side-scrolling area's three planes (foreground, background, and middle) to avoid taking damage.<br><br>Defeating enemies in creative ways earns your character experience points to customize one of six attributes: strength, vitality, intelligence, mentality, agility, and luck. The story mode is notable for featuring more than 50 possible paths, introducing different encounters that will influence the game's ending. Guardian Heroes includes two-player co-op support as well as a competitive multiplayer mode for up to six players. ",3
36,   Ultimate Mortal Kombat 3 Sega Saturn Video Game (Disc Only) ,14.95,  Good ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",2
37,   Panzer Dragoon II Zwei - Sega Saturn - RARE ,27.99,  Good ,,1
38,   SEGA SATURN SYSTEM CONSOLE BUNDLE RF SWITCH 2 CONTROLLERS CABLE Manual 1995  ,92.0,  Used ,,4
39,"   Virtua Fighter Kids  (Saturn, 1996) Game Disk Only ",12.5,  Acceptable ,"              Akira, Shun-di, Kage, and Pai are back -- but this time, they're kids! Virtua Fighter Kids brings home the arcade action to the Sega Saturn. This port of the arcade game is based on the award-winning coin-op, Virtua Fighter. Featuring ten childlike fighters, each of whom sports a huge array of moves. With oversized heads and undersized arms, Virtua Fighter Kids puts a new twist on a proven genre.<br><br>Fighting takes place in three dimensional rings, allowing players full freedom of movement. Most of the modes of play are the same as Virtua Fighter 2, such as Ranking, Arcade, and Practice. Adding to the legacy of the Virtua Fighter series, Virtua Fighter Kids includes a new play mode and a new feature: Kids mode and Combo Maker. Kids mode simplifies the controls by allowing combos to be performed with one button. The Combo Maker gives players the ability to create up to 20 new moves. Take the battle into your own hands! ",1
40,   Guardian Heroes - US Sega Saturn - Complete - Almost Mint Condition RARE  ,89.99,  Very Good ,"              Guardian Heroes is fantasy-themed action title in the spirit of Sega's hack-and-slash Golden Axe arcade game. Choose from four initially playable characters, each proficient in a different combat style, before mastering the assortment of combos and magic-based attacks needed to defeat your enemies. Your character can also move across each side-scrolling area's three planes (foreground, background, and middle) to avoid taking damage.<br><br>Defeating enemies in creative ways earns your character experience points to customize one of six attributes: strength, vitality, intelligence, mentality, agility, and luck. The story mode is notable for featuring more than 50 possible paths, introducing different encounters that will influence the game's ending. Guardian Heroes includes two-player co-op support as well as a competitive multiplayer mode for up to six players. ",10
41,   Albert Odyssey Legend of Eldean SEGA Saturn RPG Very  Rare   MINT CONIDTION DISC ,83.99,  Like New ,,3
42,   Sega Saturn MEGA MAN 8 - BRAND NEW FACTORY SEALED  ,995.0,  Brand New , Video ,11
43,"   Panzer Dragoon Saga - Disks Only (Sega Saturn, 1998) ",315.0,  Acceptable ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",3
44,"   Sega Saturn Japan ntscj 2 controllers,me<wbr>mory cart,new batt,2 game USA SELLER!!!! ",125.0,  Used ," Get back to classic video gaming with the Sega Saturn console. Dual processors and a full-color display bring a classic gaming console to life, making for quick gameplay and visuals that can be enjoyed by up to two players thanks to the dual controller ports. The Sega Saturn console was the first to accept both CDs and cartridges, giving gamers a wide selection of play possibilities. There are more than 245 games available on the classic Sega gaming console, which has its own internal memory storage and specialized memory cartridges for additional storage. Named by IGN as one of the 25 best gaming consoles of all time, the Sega Saturn console is shaped in a simple rectangle that fits onto any shelf. Place games into the Sega gaming console by lifting the top lid and inserting them directly inside. The Sega Saturn helped shape video gaming, and remains one of the best systems ever produced. A classic gaming console never goes out of style. ",12
45,"   Guardian Heroes  (Sega Saturn, 1996) ",98.5,  Very Good ,"              Guardian Heroes is fantasy-themed action title in the spirit of Sega's hack-and-slash Golden Axe arcade game. Choose from four initially playable characters, each proficient in a different combat style, before mastering the assortment of combos and magic-based attacks needed to defeat your enemies. Your character can also move across each side-scrolling area's three planes (foreground, background, and middle) to avoid taking damage.<br><br>Defeating enemies in creative ways earns your character experience points to customize one of six attributes: strength, vitality, intelligence, mentality, agility, and luck. The story mode is notable for featuring more than 50 possible paths, introducing different encounters that will influence the game's ending. Guardian Heroes includes two-player co-op support as well as a competitive multiplayer mode for up to six players. ",5
46,   Sega Saturn White Console System Into the dream bundle Japanese version SS ,114.0,  Used ,,11
47,   Sega Saturn Black bundle (NTSC)Tested Working with 3 games and 1 controller 0265 ,89.99,  Used ," Get back to classic video gaming with the Sega Saturn console. Dual processors and a full-color display bring a classic gaming console to life, making for quick gameplay and visuals that can be enjoyed by up to two players thanks to the dual controller ports. The Sega Saturn console was the first to accept both CDs and cartridges, giving gamers a wide selection of play possibilities. There are more than 245 games available on the classic Sega gaming console, which has its own internal memory storage and specialized memory cartridges for additional storage. Named by IGN as one of the 25 best gaming consoles of all time, the Sega Saturn console is shaped in a simple rectangle that fits onto any shelf. Place games into the Sega gaming console by lifting the top lid and inserting them directly inside. The Sega Saturn helped shape video gaming, and remains one of the best systems ever produced. A classic gaming console never goes out of style. ",3
48,   Sega Saturn MK-80000A VIdeo Game System Console ,81.44,  Used ,,12
49,   Sega Saturn Grey Console System set with free game only Japanese version SS ,117.0,  Used ,,12
50,"   Virtua Fighter Kids (Sega Saturn, 1996) ",18.99,  Very Good ,"              Akira, Shun-di, Kage, and Pai are back -- but this time, they're kids! Virtua Fighter Kids brings home the arcade action to the Sega Saturn. This port of the arcade game is based on the award-winning coin-op, Virtua Fighter. Featuring ten childlike fighters, each of whom sports a huge array of moves. With oversized heads and undersized arms, Virtua Fighter Kids puts a new twist on a proven genre.<br><br>Fighting takes place in three dimensional rings, allowing players full freedom of movement. Most of the modes of play are the same as Virtua Fighter 2, such as Ranking, Arcade, and Practice. Adding to the legacy of the Virtua Fighter series, Virtua Fighter Kids includes a new play mode and a new feature: Kids mode and Combo Maker. Kids mode simplifies the controls by allowing combos to be performed with one button. The Combo Maker gives players the ability to create up to 20 new moves. Take the battle into your own hands! ",1
51,   Sonic 3D Blast Complete Game Sega Saturn CIB Original ,24.99,  Good ,"              Dr. Robotnik should find himself another hobby, because this one ain't paying off; or at least not yet. Determined yet again to collect the Chaos Emeralds and gain absolute power (over what, we're never exactly sure), The man with the Mean Bean Machine has sent out his robo-cronies to kidnap the birdlike Flickies and invade Flicky Island in search of all six Chaos Emeralds. Poor Sonic. Why can't anyone else play the hero for once?<br><br>The gameplay is familiar, but the settings are completely new. Sonic 3D Blast sticks the blue blur smack dab in the middle of a fully rendered isometric playing field, with new hazards exploring a third dimension in which to terrorize our hero.<br><br>Rescue the Flickies from the grasps of each of Robotnik's mechanized bad guys, and set them free at the end of each level. Also, keep an eye out for Tails, who'll offer you a round trip ticket to the bonus rounds where Sonic must collect enough rings to earn each emerald.<br><br>Claim each section of Flicky Island, including its snowy peaks, its grassy hills, and even an active volcano, in your pursuit of the tirelessly conniving Dr. Robotnik.<br><br>Sonic 3D Blast for Saturn features two separate endings, each displayed in full motion video. There is no save feature in Sonic 3D Blast. ",2
